id	sentiment	review
205	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
37	1	Exceptional in every way. The music, the acting, the script - all perfect.
111	1	The best movie of the year without a doubt. A touching story with brilliant execution.
260	0	The acting was cringe-worthy and the story was nonsensical throughout.
176	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
24	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
184	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
256	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
84	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
65	1	A beautiful film that captures the human spirit in the most profound way.
278	0	A complete disaster from start to finish. Save your money and avoid this film.
292	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
113	1	A masterpiece of modern cinema. The director did an incredible job with this one.
41	1	A masterpiece of modern cinema. The director did an incredible job with this one.
82	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
59	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
8	1	The best movie of the year without a doubt. A touching story with brilliant execution.
120	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
186	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
85	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
125	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
257	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
28	1	Surprisingly good film with a gripping narrative and excellent direction.
134	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
180	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
244	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
86	1	Exceptional in every way. The music, the acting, the script - all perfect.
126	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
194	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
78	1	The best movie of the year without a doubt. A touching story with brilliant execution.
258	0	The acting was cringe-worthy and the story was nonsensical throughout.
290	0	A complete disaster from start to finish. Save your money and avoid this film.
119	1	The best movie of the year without a doubt. A touching story with brilliant execution.
291	0	A complete disaster from start to finish. Save your money and avoid this film.
7	1	A masterpiece of modern cinema. The director did an incredible job with this one.
215	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
44	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
171	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
79	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
246	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
252	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
43	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
199	0	The acting was cringe-worthy and the story was nonsensical throughout.
175	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
21	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
157	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
57	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
95	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
100	1	Surprisingly good film with a gripping narrative and excellent direction.
51	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
58	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
271	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
105	1	Surprisingly good film with a gripping narrative and excellent direction.
143	1	Surprisingly good film with a gripping narrative and excellent direction.
91	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
141	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
68	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
201	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
227	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
211	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
233	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
251	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
150	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
212	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
162	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
92	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
155	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
287	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
131	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
179	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
222	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
245	0	The acting was cringe-worthy and the story was nonsensical throughout.
241	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
22	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
177	0	The acting was cringe-worthy and the story was nonsensical throughout.
185	0	The worst film I have seen this decade. Laughably bad in every possible way.
96	1	A masterpiece of modern cinema. The director did an incredible job with this one.
198	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
288	0	The worst film I have seen this decade. Laughably bad in every possible way.
83	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
13	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
270	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
254	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
45	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
153	0	A complete disaster from start to finish. Save your money and avoid this film.
46	1	A masterpiece of modern cinema. The director did an incredible job with this one.
268	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
114	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
110	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
274	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
156	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
238	0	The worst film I have seen this decade. Laughably bad in every possible way.
74	1	Exceptional in every way. The music, the acting, the script - all perfect.
282	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
4	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
132	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
19	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
88	1	Exceptional in every way. The music, the acting, the script - all perfect.
9	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
195	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
1	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
262	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
159	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
90	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
70	1	Exceptional in every way. The music, the acting, the script - all perfect.
56	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
147	1	A beautiful film that captures the human spirit in the most profound way.
253	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
151	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
118	1	Surprisingly good film with a gripping narrative and excellent direction.
294	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
265	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
230	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
228	0	The acting was cringe-worthy and the story was nonsensical throughout.
5	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
35	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
106	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
154	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
81	1	Surprisingly good film with a gripping narrative and excellent direction.
11	1	The best movie of the year without a doubt. A touching story with brilliant execution.
6	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
234	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
223	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
115	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
32	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
182	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
64	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
136	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
170	0	The acting was cringe-worthy and the story was nonsensical throughout.
87	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
53	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
146	1	A beautiful film that captures the human spirit in the most profound way.
69	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
213	0	The acting was cringe-worthy and the story was nonsensical throughout.
272	0	A complete disaster from start to finish. Save your money and avoid this film.
29	1	The best movie of the year without a doubt. A touching story with brilliant execution.
286	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
295	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
26	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
164	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
160	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
197	0	The acting was cringe-worthy and the story was nonsensical throughout.
77	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
139	1	A beautiful film that captures the human spirit in the most profound way.
112	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
196	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
72	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
94	1	Exceptional in every way. The music, the acting, the script - all perfect.
62	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
189	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
89	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
165	0	A complete disaster from start to finish. Save your money and avoid this film.
167	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
129	1	Exceptional in every way. The music, the acting, the script - all perfect.
235	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
137	1	A beautiful film that captures the human spirit in the most profound way.
161	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
250	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
174	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
163	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
2	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
18	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
261	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
296	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
76	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
33	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
101	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
255	0	The worst film I have seen this decade. Laughably bad in every possible way.
61	1	The best movie of the year without a doubt. A touching story with brilliant execution.
207	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
52	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
66	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
203	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
133	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
144	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
218	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
168	0	The worst film I have seen this decade. Laughably bad in every possible way.
107	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
193	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
158	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
10	1	Surprisingly good film with a gripping narrative and excellent direction.
190	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
281	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
63	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
145	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
297	0	A complete disaster from start to finish. Save your money and avoid this film.
103	1	A beautiful film that captures the human spirit in the most profound way.
240	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
172	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
204	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
152	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
17	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
47	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
20	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
130	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
202	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
40	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
135	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
128	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
122	1	Surprisingly good film with a gripping narrative and excellent direction.
149	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
249	0	A complete disaster from start to finish. Save your money and avoid this film.
209	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
80	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
191	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
232	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
247	0	A complete disaster from start to finish. Save your money and avoid this film.
188	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
148	1	Surprisingly good film with a gripping narrative and excellent direction.
14	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
267	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
75	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
279	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
39	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
243	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
183	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
293	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
259	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
224	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
187	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
178	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
108	1	Surprisingly good film with a gripping narrative and excellent direction.
73	1	A beautiful film that captures the human spirit in the most profound way.
116	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
225	0	A complete disaster from start to finish. Save your money and avoid this film.
200	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
285	0	The worst film I have seen this decade. Laughably bad in every possible way.
99	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
0	1	Surprisingly good film with a gripping narrative and excellent direction.
264	0	The worst film I have seen this decade. Laughably bad in every possible way.
273	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
15	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
231	0	The acting was cringe-worthy and the story was nonsensical throughout.
102	1	The best movie of the year without a doubt. A touching story with brilliant execution.
221	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
54	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
123	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
283	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
104	1	Surprisingly good film with a gripping narrative and excellent direction.
42	1	The best movie of the year without a doubt. A touching story with brilliant execution.
60	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
217	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
192	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
237	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
23	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
299	0	A complete disaster from start to finish. Save your money and avoid this film.
214	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
138	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
166	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
12	1	A beautiful film that captures the human spirit in the most profound way.
25	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
140	1	The best movie of the year without a doubt. A touching story with brilliant execution.
219	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
277	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
269	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
226	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
38	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
266	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
236	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
289	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
93	1	Surprisingly good film with a gripping narrative and excellent direction.
275	0	The acting was cringe-worthy and the story was nonsensical throughout.
71	1	Surprisingly good film with a gripping narrative and excellent direction.
229	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
280	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
98	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
127	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
55	1	Exceptional in every way. The music, the acting, the script - all perfect.
173	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
206	0	The worst film I have seen this decade. Laughably bad in every possible way.
31	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
50	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
27	1	The best movie of the year without a doubt. A touching story with brilliant execution.
239	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
210	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
216	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
181	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
220	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
49	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
48	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
97	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
208	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
284	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
124	1	Exceptional in every way. The music, the acting, the script - all perfect.
242	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
67	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
276	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
109	1	A masterpiece of modern cinema. The director did an incredible job with this one.
248	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
142	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
121	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
263	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
298	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
169	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
16	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
34	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
117	1	A beautiful film that captures the human spirit in the most profound way.
30	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
36	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
3	1	The best movie of the year without a doubt. A touching story with brilliant execution.
